语音文件名 开始时间 结束时间 说话人ID 说话内容文本
talk3_8k 0.00 6.40    2 嗯这位叫做成龙的网友我们在网上看到你踩猫的表演
talk3_8k 6.40 9.20    2 我们想问你为什么要去做这件事情呢？
talk3_8k 9.20 17.60   1 一呢这不需要牵扯我个人的经历爱男再也不违法它提供了一切我就负责联系人
talk3_8k 17.60 22.40  1 我认为这事操作起来比较简单就是一个挣点零花钱
talk3_8k 22.40 25.20  2 所以说成本很低
talk3_8k 25.20 28.00  1 对于我们来讲这个没有成本
talk3_8k 28.00 31.60  2 你当时觉得有风险吗？
talk3_8k 31.60 34.00  1 当时我没有觉得有风险
talk3_8k 34.00 36.00  2 为什么呢？
talk3_8k 36.00 40.00  1 因为这些东西都不违背法律
talk3_8k 40.00 46.00  2 假如当时这个行为是违法的有明确的法律规范你觉得你会做吗？
talk3_8k 46.00 47.20  2 不可能
talk3_8k 47.20 49.60  2 绝对不会
talk3_8k 49.60 53.20  1 这个底线绝对不能超越
talk3_8k 53.20 57.20  2 那你当时考虑过道德这个问题吗？
talk3_8k 57.20 63.20  1 在这个公民道德实施纲要里也没有说不让对待动物一样
talk3_8k 63.20 64.80  1 没有具体说的
talk3_8k 64.80 70.00  2 也许这一切并没有一个很明确的行为规范
talk3_8k 70.00 74.40  2 但很多人的理解是觉得人敬畏生命立生命
talk3_8k 74.40 78.00  2 这好像是很多时候人类的一个共识
talk3_8k 78.00 80.40  1 其实我也是这么理解的
talk3_8k 80.40 83.20  1 但是呢这个坦白的说这里头
talk3_8k 83.20 85.20  2 都有一个利益关系吗？
talk3_8k 85.20 88.00  2 你说的很惨率
talk3_8k 88.00 90.00  2 这是你做的唯一因素吗？
talk3_8k 90.00 91.60  2 是这样的
talk3_8k 91.60 95.60  2 那动物在之前经过麻醉吗？
talk3_8k 95.60 97.60  2 是的必需麻醉
talk3_8k 97.60 100.80 2 为什么要吗真
talk3_8k 100.80 103.20 	1 这是给他们减轻痛苦呀！
talk3_8k 103.20 106.80 	2 不是说要尽量残忍吗？
talk3_8k 106.80 111.60 	1 给别人看是要尽量传染但是在实施操作的时候
talk3_8k 111.60 116.40 	1 要减少痛苦刚开始的时候也觉得这个是比较残忍
talk3_8k 116.40 119.20 	1 嗯看到了
talk3_8k 119.20 123.60 	1 后来十几分钟看到后面的时候能接受了吗？
talk3_8k 123.60 125.20 	1 已经麻木了
talk3_8k 125.20 127.60 	1 麻木
talk3_8k 127.60 130.00 	1 利益会让一个人丧失感觉吗？
talk3_8k 130.00 131.60 	1 你说呢？
talk3_8k 131.60 134.40 	1 我不知道所以我想问你
talk3_8k 134.40 136.80 	1 那我也得请教你
talk3_8k 136.80 142.00 	2 你的这个原则如果是发生在人和人的身上
talk3_8k 142.00 143.60 	2 你也会用这个原则吗？
talk3_8k 143.60 148.40 	1 在朋友之间多少钱都不行做人要有底线
talk3_8k 148.40 150.80 	2 在底线是什么
talk3_8k 150.80 158.80 	1 在这方面我自认为我还可以我从来不出卖朋友不做有损与朋友的事
talk3_8k 158.80 160.80 	1 至少是在主观上
talk3_8k 160.80 166.00 	2 那你为什么会把朋友间这种感情的比利益更重要
talk3_8k 166.00 167.20 	1 这还用问吗？
talk3_8k 167.20 169.20 	2 当然用了
talk3_8k 169.20 171.20 	1 这么简单的问题
talk3_8k 171.20 174.80 	2 我觉得这个问题不简单
talk3_8k 174.80 178.40 	1 如果一个人真正是为了追求利益
talk3_8k 178.40 182.80 	1 什么都不顾的话那他也根本就不会有什么利益可谈的
talk3_8k 182.80 185.20 	1 谁来去跟李弹力去
talk3_8k 185.20 188.00 	2 你帮助过陌生人
talk3_8k 188.00 189.60 	2 那些小孩和老人
talk3_8k 189.60 192.80 	2 还有那些跟你生活没有关系的人为什么呢？
talk3_8k 192.80 194.80 	1 让我赶上了
talk3_8k 194.80 197.60 	1 真有良心的你不能跟
talk3_8k 197.60 202.40 	1 眼瞅着它使你不管人都不能见死不救
talk3_8k 202.40 204.80 	1 他们属于这么危险困难当中
talk3_8k 204.80 206.40 	1 做个举手之劳的事
talk3_8k 206.40 210.80 	1 就把他们给救了他坐上我的车他的生命就有了保障
talk3_8k 210.80 214.40 	1 我要替她不管他们就是等待着死亡
talk3_8k 214.40 219.20 	2 这个世界上也有一些人在这样的时候是比较冷漠
talk3_8k 219.20 220.80 	2 弃之不顾的也有
talk3_8k 220.80 224.80 	1 人和人不一样
talk3_8k 224.80 233.60 	2 在网上有很多人说一个不剩的动物的人就不可能现代与你怎么看他们这个说法
talk3_8k 233.60 241.20 	1 不是说所有关爱人的人都关爱动物也不是说所有关爱动物的人都挂爱人
